strain,replicate,drug,time,microcol,mic
PAO1,3,CIP,48h,y,0.047
PAO1,1,GEN,48h,n,1.5
PAO1,1,GEN,48h,y,1.5
PAO1,2,GEN,48h,n,0.75
PAO1,2,GEN,48h,y,1
PAO1,3,GEN,48h,n,1.5
PAO1,3,GEN,48h,y,1.5
PAO1,1,TOB,48h,n,1.5
PAO1,1,TOB,48h,y,1.5
PAO1,2,TOB,48h,n,2
PAO1,2,TOB,48h,y,2
PAO1,3,TOB,48h,n,1.5
PAO1,3,TOB,48h,y,1.5
PAO1,1,MER,48h,n,0.032
PAO1,1,MER,48h,y,0.047
PAO1,2,MER,48h,n,0.023
PAO1,2,MER,48h,y,0.032
PAO1,3,MER,48h,n,0.047
PAO1,3,MER,48h,y,0.064
PAO1,1,PIT,48h,n,2
PAO1,1,PIT,48h,y,2
PAO1,2,PIT,48h,n,2
PAO1,2,PIT,48h,y,2
PAO1,3,PIT,48h,n,2
PAO1,3,PIT,48h,y,2
PAO1,1,COL,48h,n,3
PAO1,1,COL,48h,y,3
PAO1,2,COL,48h,n,3
PAO1,2,COL,48h,y,3
PAO1,3,COL,48h,n,3
PAO1,3,COL,48h,y,3
PAO1,4,COL,48h,n,3
PAO1,4,COL,48h,y,3
PAO1,5,COL,48h,n,4
PAO1,5,COL,48h,y,4
PAO1,6,COL,48h,n,3
PAO1,6,COL,48h,y,3
PAO1,1,CTT,48h,n,0.38
PAO1,1,CTT,48h,y,0.38
PAO1,2,CTT,48h,n,0.25
PAO1,2,CTT,48h,y,0.25
PAO1,3,CTT,48h,n,0.38
PAO1,3,CTT,48h,y,0.38
PAO1,4,CTT,48h,n,0.38
PAO1,4,CTT,48h,y,0.38
PAO1,5,CTT,48h,n,0.25
PAO1,5,CTT,48h,y,0.25
PAO1,6,CTT,48h,n,0.25
PAO1,6,CTT,48h,y,0.25
PAO1,1,AMI,48h,n,6
PAO1,1,AMI,48h,y,12
PAO1,2,AMI,48h,n,3
PAO1,2,AMI,48h,y,3
PAO1,3,AMI,48h,n,4
PAO1,3,AMI,48h,y,4
PAO1,4,AMI,48h,n,4
PAO1,4,AMI,48h,y,4
PAO1,5,AMI,48h,n,4
PAO1,5,AMI,48h,y,6
PAO1,6,AMI,48h,n,4
PAO1,6,AMI,48h,y,12
PAO1,1,CTZ,48h,n,1
PAO1,1,CTZ,48h,y,1
PAO1,2,CTZ,48h,n,0.75
PAO1,2,CTZ,48h,y,0.75
PAO1,3,CTZ,48h,n,0.75
PAO1,3,CTZ,48h,y,0.75
PA14,1,CIP,24h,n,0.094
PA14,1,CIP,24h,y,0.094
PA14,2,CIP,24h,n,0.125
PA14,2,CIP,24h,y,0.125
PA14,3,CIP,24h,n,0.094
PA14,3,CIP,24h,y,0.094
PA14,1,GEN,24h,n,0.75
PA14,1,GEN,24h,y,0.75
PA14,2,GEN,24h,n,1
PA14,2,GEN,24h,y,1
PA14,3,GEN,24h,n,0.75
PA14,3,GEN,24h,y,0.75
PA14,1,TOB,24h,n,1.5
PA14,1,TOB,24h,y,1.5
PA14,2,TOB,24h,n,1
PA14,2,TOB,24h,y,1
PA14,3,TOB,24h,n,0.75
PA14,3,TOB,24h,y,0.75
PA14,1,MER,24h,n,0.016
PA14,1,MER,24h,y,0.016
PA14,2,MER,24h,n,0.023
PA14,2,MER,24h,y,0.023
PA14,3,MER,24h,n,0.023
PA14,3,MER,24h,y,0.023
PA14,1,PIT,24h,n,2
