strain,replicate,time,od
H10,8,540,0.367
H10,8,555,0.357
H10,8,570,0.389
H10,8,585,0.356
H10,8,600,0.356
H10,8,615,0.352
H10,8,630,0.351
H10,8,645,0.35
H10,8,660,0.346
H10,8,675,0.347
H10,8,690,0.346
H10,8,705,0.34
H10,8,720,0.35
H10,8,735,0.333
H10,8,750,0.354
H10,8,765,0.337
H10,8,780,0.327
H10,8,795,0.324
H10,8,810,0.323
H10,8,825,0.322
H10,8,840,0.321
H10,8,855,0.319
H10,8,870,0.316
H10,8,885,0.355
H10,8,900,0.318
H10,8,915,0.318
H10,8,930,0.328
H10,8,945,0.331
H10,8,960,0.328
H10,8,975,0.328
H10,8,990,0.304
H10,8,1005,0.304
H10,8,1020,0.344
H10,8,1035,0.302
H10,8,1050,0.306
H10,8,1065,0.305
H10,8,1080,0.303
H10,8,1095,0.302
H10,8,1110,0.299
H10,8,1125,0.297
H10,8,1140,0.297
H10,8,1155,0.294
H05,7,15,0.001
H05,7,30,0.001
H05,7,45,0.001
H05,7,60,0.001
H05,7,75,0.007
H05,7,90,0.012
H05,7,105,0.018
H05,7,120,0.023
H05,7,135,0.029
H05,7,150,0.035
H05,7,165,0.043
H05,7,180,0.052
H05,7,195,0.065
H05,7,210,0.077
H05,7,225,0.093
H05,7,240,0.112
H05,7,255,0.133
H05,7,270,0.162
H05,7,285,0.193
H05,7,300,0.205
H05,7,315,0.222
H05,7,330,0.236
H05,7,345,0.25
H05,7,360,0.272
H05,7,375,0.296
H05,7,390,0.301
H05,7,405,0.312
H05,7,420,0.324
H05,7,435,0.322
H05,7,450,0.315
H05,7,465,0.312
H05,7,480,0.308
H05,7,495,0.309
H05,7,510,0.303
H05,7,525,0.303
H05,7,540,0.303
H05,7,555,0.297
H05,7,570,0.296
H05,7,585,0.294
H05,7,600,0.294
H05,7,615,0.293
H05,7,630,0.292
H05,7,645,0.292
H05,7,660,0.293
H05,7,675,0.291
H05,7,690,0.29
H05,7,705,0.289
H05,7,720,0.289
H05,7,735,0.289
H05,7,750,0.288
H05,7,765,0.287
H05,7,780,0.287
H05,7,795,0.288
H05,7,810,0.287
H05,7,825,0.287
H05,7,840,0.286
H05,7,855,0.289
H05,7,870,0.287
H05,7,885,0.285
H05,7,900,0.285
H05,7,915,0.287
H05,7,930,0.284
H05,7,945,0.288
H05,7,960,0.285
H05,7,975,0.286
H05,7,990,0.284
H05,7,1005,0.284
H05,7,1020,0.282
H05,7,1035,0.283
H05,7,1050,0.282
H05,7,1065,0.282
H05,7,1080,0.284
H05,7,1095,0.282
H05,7,1110,0.282
H05,7,1125,0.284
H05,7,1140,0.282
H05,7,1155,0.282
H09,7,15,0.001
H09,7,30,0.001
H09,7,45,0.001
H09,7,60,0.001
H09,7,75,0.001
H09,7,90,0.001
H09,7,105,0.003
H09,7,120,0.005
H09,7,135,0.007
H09,7,150,0.011
H09,7,165,0.014
H09,7,180,0.019
H09,7,195,0.025
H09,7,210,0.032
H09,7,225,0.043
H09,7,240,0.056
H09,7,255,0.066
H09,7,270,0.082
H09,7,285,0.095
H09,7,300,0.098
H09,7,315,0.137
H09,7,330,0.146
H09,7,345,0.164
H09,7,360,0.189
H09,7,375,0.212
H09,7,390,0.224
H09,7,405,0.241
H09,7,420,0.253
H09,7,435,0.259
H09,7,450,0.262
H09,7,465,0.264
H09,7,480,0.267
H09,7,495,0.265
H09,7,510,0.269
H09,7,525,0.268
H09,7,540,0.261
H09,7,555,0.269
H09,7,570,0.264
H09,7,585,0.264
H09,7,600,0.263
H09,7,615,0.264
H09,7,630,0.265
H09,7,645,0.262
H09,7,660,0.264
H09,7,675,0.26
H09,7,690,0.261
H09,7,705,0.259
H09,7,720,0.26
H09,7,735,0.257
H09,7,750,0.256
H09,7,765,0.256
H09,7,780,0.255
H09,7,795,0.255
H09,7,810,0.254
H09,7,825,0.254
H09,7,840,0.257
H09,7,855,0.255
H09,7,870,0.252
H09,7,885,0.252
H09,7,900,0.251
H09,7,915,0.251
H09,7,930,0.251
H09,7,945,0.25
H09,7,960,0.25
H09,7,975,0.25
H09,7,990,0.251
H09,7,1005,0.25
H09,7,1020,0.249
H09,7,1035,0.248
H09,7,1050,0.248
H09,7,1065,0.247
H09,7,1080,0.249
H09,7,1095,0.247
H09,7,1110,0.248
H09,7,1125,0.246
H09,7,1140,0.246
H09,7,1155,0.246
H05,8,15,0.001
H05,8,30,0.001
H05,8,45,0.001
H05,8,60,0.001
H05,8,75,0.001
H05,8,90,0.001
H05,8,105,0.003
H05,8,120,0.005
H05,8,135,0.007
H05,8,150,0.011
H05,8,165,0.015
H05,8,180,0.022
H05,8,195,0.031
H05,8,210,0.043
H05,8,225,0.056
H05,8,240,0.072
H05,8,255,0.09
H05,8,270,0.113
H05,8,285,0.13
H05,8,300,0.164
H05,8,315,0.177
H05,8,330,0.19
H05,8,345,0.208
H05,8,360,0.235
H05,8,375,0.241
H05,8,390,0.255
H05,8,405,0.276
H05,8,420,0.286
H05,8,435,0.295
H05,8,450,0.299
H05,8,465,0.308
H05,8,480,0.316
H05,8,495,0.323
H05,8,510,0.331
H05,8,525,0.34
H05,8,540,0.334
H05,8,555,0.335
H05,8,570,0.331
H05,8,585,0.327
H05,8,600,0.322
H05,8,615,0.318
H05,8,630,0.315
H05,8,645,0.312
H05,8,660,0.309
H05,8,675,0.306
H05,8,690,0.304
H05,8,705,0.302
H05,8,720,0.3
H05,8,735,0.298
H05,8,750,0.297
H05,8,765,0.296
H05,8,780,0.294
H05,8,795,0.293
H05,8,810,0.292
H05,8,825,0.291
H05,8,840,0.291
H05,8,855,0.292
H05,8,870,0.289
H05,8,885,0.289
H05,8,900,0.288
H05,8,915,0.288
H05,8,930,0.287
H05,8,945,0.287
H05,8,960,0.286
H05,8,975,0.286
H05,8,990,0.285
H05,8,1005,0.285
H05,8,1020,0.285
H05,8,1035,0.285
H05,8,1050,0.283
H05,8,1065,0.282
H05,8,1080,0.282
H05,8,1095,0.28
H05,8,1110,0.28
H05,8,1125,0.278
H05,8,1140,0.278
H05,8,1155,0.277
H02,8,15,0.003
H02,8,30,0.002
H02,8,45,0.002
H02,8,60,0.002
H02,8,75,0.002
H02,8,90,0.003
H02,8,105,0.004
H02,8,120,0.006
H02,8,135,0.008
H02,8,150,0.012
H02,8,165,0.017
H02,8,180,0.023
H02,8,195,0.03
H02,8,210,0.043
H02,8,225,0.054
H02,8,240,0.068
H02,8,255,0.086
H02,8,270,0.103
H02,8,285,0.144
H02,8,300,0.158
H02,8,315,0.172
H02,8,330,0.184
H02,8,345,0.2
H02,8,360,0.217
H02,8,375,0.224
H02,8,390,0.239
H02,8,405,0.253
H02,8,420,0.266
H02,8,435,0.279
H02,8,450,0.287
H02,8,465,0.288
H02,8,480,0.291
H02,8,495,0.294
H02,8,510,0.297
H02,8,525,0.297
H02,8,540,0.292
H02,8,555,0.297
H02,8,570,0.296
H02,8,585,0.296
H02,8,600,0.295
H02,8,615,0.295
H02,8,630,0.296
H02,8,645,0.294
H02,8,660,0.293
H02,8,675,0.291
H02,8,690,0.29
H02,8,705,0.289
H02,8,720,0.293
H02,8,735,0.286
H02,8,750,0.285
H02,8,765,0.284
H02,8,780,0.283
H02,8,795,0.28
H02,8,810,0.28
H02,8,825,0.277
H02,8,840,0.277
H02,8,855,0.276
H02,8,870,0.274
H02,8,885,0.271
H02,8,900,0.27
H02,8,915,0.269
H02,8,930,0.269
H02,8,945,0.268
H02,8,960,0.266
H02,8,975,0.27
H02,8,990,0.261
H02,8,1005,0.259
H02,8,1020,0.257
H02,8,1035,0.255
H02,8,1050,0.253
H02,8,1065,0.251
H02,8,1080,0.252
H02,8,1095,0.247
H02,8,1110,0.246
H02,8,1125,0.244
H02,8,1140,0.242
H02,8,1155,0.241
H09,8,15,0.001
H09,8,30,0.001
H09,8,45,0.001
H09,8,60,0.001
H09,8,75,0.002
H09,8,90,0.004
H09,8,105,0.006
H09,8,120,0.009
H09,8,135,0.012
H09,8,150,0.017
H09,8,165,0.023
H09,8,180,0.029
H09,8,195,0.039
H09,8,210,0.052
H09,8,225,0.063
H09,8,240,0.075
H09,8,255,0.094
H09,8,270,0.112
H09,8,285,0.137
H09,8,300,0.173
H09,8,315,0.198
H09,8,330,0.219
H09,8,345,0.243
H09,8,360,0.259
H09,8,375,0.27
H09,8,390,0.284
H09,8,405,0.293
H09,8,420,0.287
H09,8,435,0.296
H09,8,450,0.293
H09,8,465,0.298
H09,8,480,0.293
H09,8,495,0.287
H09,8,510,0.284
H09,8,525,0.282
H09,8,540,0.274
H09,8,555,0.28
H09,8,570,0.279
H09,8,585,0.277
H09,8,600,0.273
H09,8,615,0.272
H09,8,630,0.271
H09,8,645,0.271
H09,8,660,0.269
H09,8,675,0.268
H09,8,690,0.268
H09,8,705,0.268
H09,8,720,0.267
H09,8,735,0.266
H09,8,750,0.265
H09,8,765,0.264
H09,8,780,0.264
H09,8,795,0.267
H09,8,810,0.263
H09,8,825,0.262
H09,8,840,0.264
H09,8,855,0.264
H09,8,870,0.261
H09,8,885,0.26
H09,8,900,0.26
H09,8,915,0.26
H09,8,930,0.257
H09,8,945,0.257
H09,8,960,0.257
H09,8,975,0.257
H09,8,990,0.256
H09,8,1005,0.257
H09,8,1020,0.255
H09,8,1035,0.254
H09,8,1050,0.255
H09,8,1065,0.254
H09,8,1080,0.254
H09,8,1095,0.257
H09,8,1110,0.254
H09,8,1125,0.253
H09,8,1140,0.252
H09,8,1155,0.252
H03,6,15,0.005
H03,6,30,0.005
H03,6,45,0.005
H03,6,60,0.005
H03,6,75,0.007
H03,6,90,0.007
H03,6,105,0.008
H03,6,120,0.01
H03,6,135,0.012
H03,6,150,0.015
H03,6,165,0.019
H03,6,180,0.025
H03,6,195,0.034
H03,6,210,0.04
H03,6,225,0.046
H03,6,240,0.053
H03,6,255,0.06
H03,6,270,0.066
H03,6,285,0.07
H03,6,300,0.079
H03,6,315,0.085
H03,6,330,0.091
H03,6,345,0.098
H03,6,360,0.108
H03,6,375,0.114
H03,6,390,0.128
H03,6,405,0.129
H03,6,420,0.129
H03,6,435,0.136
H03,6,450,0.139
H03,6,465,0.14
H03,6,480,0.149
H03,6,495,0.162
H03,6,510,0.174
H03,6,525,0.186
H03,6,540,0.198
H03,6,555,0.214
H03,6,570,0.213
H03,6,585,0.218
H03,6,600,0.225
H03,6,615,0.228
H03,6,630,0.231
H03,6,645,0.236
H03,6,660,0.238
H03,6,675,0.242
H03,6,690,0.239
H03,6,705,0.241
H03,6,720,0.246
H03,6,735,0.244
H03,6,750,0.245
H03,6,765,0.246
H03,6,780,0.247
H03,6,795,0.248
H03,6,810,0.247
H03,6,825,0.248
H03,6,840,0.248
H03,6,855,0.248
H03,6,870,0.249
H03,6,885,0.25
H03,6,900,0.248
H03,6,915,0.249
H03,6,930,0.251
H03,6,945,0.252
H03,6,960,0.251
H03,6,975,0.253
H03,6,990,0.251
H03,6,1005,0.252
H03,6,1020,0.253
H03,6,1035,0.251
H03,6,1050,0.251
H03,6,1065,0.252
H03,6,1080,0.252
H03,6,1095,0.253
H03,6,1110,0.253
H03,6,1125,0.254
H03,6,1140,0.255
H03,6,1155,0.256
H06,7,15,0.009
H06,7,30,0.009
H06,7,45,0.01
H06,7,60,0.01
H06,7,75,0.011
H06,7,90,0.012
H06,7,105,0.014
H06,7,120,0.016
H06,7,135,0.019
H06,7,150,0.024
H06,7,165,0.029
H06,7,180,0.035
H06,7,195,0.042
H06,7,210,0.048
H06,7,225,0.053
H06,7,240,0.059
H06,7,255,0.062
H06,7,270,0.065
H06,7,285,0.068
H06,7,300,0.069
H06,7,315,0.07
H06,7,330,0.074
H06,7,345,0.082
H06,7,360,0.093
H06,7,375,0.105
H06,7,390,0.124
H06,7,405,0.145
H06,7,420,0.161
H06,7,435,0.176
H06,7,450,0.193
H06,7,465,0.204
H06,7,480,0.213
H06,7,495,0.219
H06,7,510,0.224
H06,7,525,0.228
H06,7,540,0.231
H06,7,555,0.234
H06,7,570,0.238
H06,7,585,0.244
H06,7,600,0.249
H06,7,615,0.25
H06,7,630,0.252
H06,7,645,0.252
H06,7,660,0.253
H06,7,675,0.254
H06,7,690,0.254
H06,7,705,0.253
H06,7,720,0.254
H06,7,735,0.254
H06,7,750,0.254
H06,7,765,0.253
H06,7,780,0.253
H06,7,795,0.253
H06,7,810,0.253
H06,7,825,0.253
H06,7,840,0.253
H06,7,855,0.253
H06,7,870,0.252
H06,7,885,0.252
H06,7,900,0.251
H06,7,915,0.251
H06,7,930,0.252
H06,7,945,0.251
H06,7,960,0.251
H06,7,975,0.251
H06,7,990,0.251
H06,7,1005,0.251
H06,7,1020,0.25
H06,7,1035,0.25
H06,7,1050,0.25
H06,7,1065,0.249
H06,7,1080,0.249
H06,7,1095,0.248
H06,7,1110,0.248
H06,7,1125,0.248
H06,7,1140,0.248
H06,7,1155,0.248
H06,8,15,0.001
H06,8,30,0.001
H06,8,45,0.001
H06,8,60,0.001
H06,8,75,0.001
H06,8,90,0.001
H06,8,105,0.001
H06,8,120,0.001
H06,8,135,0.001
H06,8,150,0.001
H06,8,165,0.003
H06,8,180,0.005
H06,8,195,0.009
H06,8,210,0.012
H06,8,225,0.016
H06,8,240,0.021
H06,8,255,0.027
H06,8,270,0.034
H06,8,285,0.044
H06,8,300,0.055
H06,8,315,0.063
H06,8,330,0.077
H06,8,345,0.095
H06,8,360,0.107
H06,8,375,0.117
H06,8,390,0.126
H06,8,405,0.137
H06,8,420,0.144
H06,8,435,0.153
H06,8,450,0.161
H06,8,465,0.167
H06,8,480,0.17
H06,8,495,0.172
H06,8,510,0.174
H06,8,525,0.183
H06,8,540,0.177
H06,8,555,0.174
H06,8,570,0.225
H06,8,585,0.259
H06,8,600,0.262
H06,8,615,0.26
H06,8,630,0.261
H06,8,645,0.26
H06,8,660,0.257
H06,8,675,0.257
H06,8,690,0.257
H06,8,705,0.257
H06,8,720,0.255
H06,8,735,0.256
H06,8,750,0.256
H06,8,765,0.257
H06,8,780,0.257
H06,8,795,0.258
H06,8,810,0.257
H06,8,825,0.257
H06,8,840,0.258
H06,8,855,0.258
H06,8,870,0.258
H06,8,885,0.259
H06,8,900,0.258
H06,8,915,0.257
H06,8,930,0.258
H06,8,945,0.258
H06,8,960,0.257
H06,8,975,0.257
H06,8,990,0.256
H06,8,1005,0.256
H06,8,1020,0.255
H06,8,1035,0.255
H06,8,1050,0.255
H06,8,1065,0.255
H06,8,1080,0.254
H06,8,1095,0.255
H06,8,1110,0.254
H06,8,1125,0.254
H06,8,1140,0.254
H06,8,1155,0.253
PA14,7,15,0.001
PA14,7,30,0.001
PA14,7,45,0.001
PA14,7,60,0.001
PA14,7,75,0.002
PA14,7,90,0.003
PA14,7,105,0.004
PA14,7,120,0.005
PA14,7,135,0.008
PA14,7,150,0.013
PA14,7,165,0.019
PA14,7,180,0.026
PA14,7,195,0.036
PA14,7,210,0.044
PA14,7,225,0.058
PA14,7,240,0.07
PA14,7,255,0.084
PA14,7,270,0.106
PA14,7,285,0.13
PA14,7,300,0.152
PA14,7,315,0.176
PA14,7,330,0.184
PA14,7,345,0.189
PA14,7,360,0.193
PA14,7,375,0.196
PA14,7,390,0.199
PA14,7,405,0.204
PA14,7,420,0.214
PA14,7,435,0.217
PA14,7,450,0.224
PA14,7,465,0.233
PA14,7,480,0.241
PA14,7,495,0.246
PA14,7,510,0.252
PA14,7,525,0.257
PA14,7,540,0.254
PA14,7,555,0.265
PA14,7,570,0.276
PA14,7,585,0.275
PA14,7,600,0.277
PA14,7,615,0.272
PA14,7,630,0.276
PA14,7,645,0.272
PA14,7,660,0.272
PA14,7,675,0.272
PA14,7,690,0.268
PA14,7,705,0.265
PA14,7,720,0.263
PA14,7,735,0.26
PA14,7,750,0.258
PA14,7,765,0.256
PA14,7,780,0.255
PA14,7,795,0.254
PA14,7,810,0.253
PA14,7,825,0.252
PA14,7,840,0.251
PA14,7,855,0.251
PA14,7,870,0.249
PA14,7,885,0.249
PA14,7,900,0.248
PA14,7,915,0.248
PA14,7,930,0.247
PA14,7,945,0.247
PA14,7,960,0.247
PA14,7,975,0.246
PA14,7,990,0.246
PA14,7,1005,0.246
PA14,7,1020,0.246
PA14,7,1035,0.245
PA14,7,1050,0.245
PA14,7,1065,0.244
PA14,7,1080,0.245
PA14,7,1095,0.244
PA14,7,1110,0.245
PA14,7,1125,0.244
PA14,7,1140,0.244
PA14,7,1155,0.246
PA14,8,15,0.001
PA14,8,30,0.001
PA14,8,45,0.001
PA14,8,60,0.001
PA14,8,75,0.001
PA14,8,90,0.001
PA14,8,105,0.001
PA14,8,120,0.003
PA14,8,135,0.006
PA14,8,150,0.01
PA14,8,165,0.015
PA14,8,180,0.021
PA14,8,195,0.029
PA14,8,210,0.037
PA14,8,225,0.047
PA14,8,240,0.061
PA14,8,255,0.074
PA14,8,270,0.09
PA14,8,285,0.113
PA14,8,300,0.133
PA14,8,315,0.153
PA14,8,330,0.176
PA14,8,345,0.181
PA14,8,360,0.184
PA14,8,375,0.187
PA14,8,390,0.191
PA14,8,405,0.195
PA14,8,420,0.2
PA14,8,435,0.207
PA14,8,450,0.211
PA14,8,465,0.219
PA14,8,480,0.228
PA14,8,495,0.234
PA14,8,510,0.239
PA14,8,525,0.244
PA14,8,540,0.24
PA14,8,555,0.252
PA14,8,570,0.256
PA14,8,585,0.261
PA14,8,600,0.266
PA14,8,615,0.264
PA14,8,630,0.263
PA14,8,645,0.262
PA14,8,660,0.262
PA14,8,675,0.261
PA14,8,690,0.261
PA14,8,705,0.26
PA14,8,720,0.257
PA14,8,735,0.254
PA14,8,750,0.251
PA14,8,765,0.248
PA14,8,780,0.247
PA14,8,795,0.245
PA14,8,810,0.244
PA14,8,825,0.243
PA14,8,840,0.242
PA14,8,855,0.242
PA14,8,870,0.24
PA14,8,885,0.24
PA14,8,900,0.239
PA14,8,915,0.238
PA14,8,930,0.237
PA14,8,945,0.237
PA14,8,960,0.236
PA14,8,975,0.236
PA14,8,990,0.236
PA14,8,1005,0.236
PA14,8,1020,0.236
PA14,8,1035,0.235
PA14,8,1050,0.235
PA14,8,1065,0.235
PA14,8,1080,0.235
PA14,8,1095,0.234
PA14,8,1110,0.236
PA14,8,1125,0.234
PA14,8,1140,0.234
PA14,8,1155,0.234
H03,7,15,0.001
H03,7,30,0.001
H03,7,45,0.001
H03,7,60,0.001
H03,7,75,0.001
H03,7,90,0.001
H03,7,105,0.003
H03,7,120,0.004
H03,7,135,0.008
H03,7,150,0.009
H03,7,165,0.012
H03,7,180,0.015
H03,7,195,0.02
H03,7,210,0.026
H03,7,225,0.033
H03,7,240,0.047
H03,7,255,0.052
H03,7,270,0.054
H03,7,285,0.063
H03,7,300,0.071
H03,7,315,0.087
H03,7,330,0.096
H03,7,345,0.101
H03,7,360,0.108
H03,7,375,0.116
H03,7,390,0.123
H03,7,405,0.128
H03,7,420,0.133
H03,7,435,0.139
H03,7,450,0.138
H03,7,465,0.137
H03,7,480,0.139
H03,7,495,0.136
H03,7,510,0.135
H03,7,525,0.135
H03,7,540,0.127
H03,7,555,0.136
H03,7,570,0.133
H03,7,585,0.159
H03,7,600,0.169
H03,7,615,0.164
H03,7,630,0.169
H03,7,645,0.209
H03,7,660,0.223
H03,7,675,0.235
H03,7,690,0.246
H03,7,705,0.248
H03,7,720,0.253
H03,7,735,0.254
H03,7,750,0.257
H03,7,765,0.257
H03,7,780,0.263
H03,7,795,0.256
H03,7,810,0.256
H03,7,825,0.258
H03,7,840,0.256
H03,7,855,0.256
H03,7,870,0.257
H03,7,885,0.256
H03,7,900,0.253
H03,7,915,0.253
H03,7,930,0.252
H03,7,945,0.253
H03,7,960,0.251
H03,7,975,0.252
H03,7,990,0.25
H03,7,1005,0.25
H03,7,1020,0.249
H03,7,1035,0.249
H03,7,1050,0.25
H03,7,1065,0.25
H03,7,1080,0.25
H03,7,1095,0.249
H03,7,1110,0.248
H03,7,1125,0.248
H03,7,1140,0.248
H03,7,1155,0.248
H04,7,15,0.001
H04,7,30,0.001
H04,7,45,0.001
H04,7,60,0.001
H04,7,75,0.001
H04,7,90,0.001
H04,7,105,0.001
H04,7,120,0.002
H04,7,135,0.004
H04,7,150,0.007
H04,7,165,0.012
H04,7,180,0.017
H04,7,195,0.023
H04,7,210,0.033
H04,7,225,0.047
H04,7,240,0.064
H04,7,255,0.085
H04,7,270,0.109
H04,7,285,0.142
H04,7,300,0.177
H04,7,315,0.188
H04,7,330,0.2
H04,7,345,0.208
H04,7,360,0.221
H04,7,375,0.236
H04,7,390,0.249
H04,7,405,0.257
H04,7,420,0.269
H04,7,435,0.279
H04,7,450,0.288
H04,7,465,0.294
H04,7,480,0.297
H04,7,495,0.301
H04,7,510,0.301
H04,7,525,0.302
H04,7,540,0.291
H04,7,555,0.304
H04,7,570,0.306
H04,7,585,0.305
H04,7,600,0.307
H04,7,615,0.307
H04,7,630,0.311
H04,7,645,0.31
H04,7,660,0.312
H04,7,675,0.309
H04,7,690,0.308
H04,7,705,0.306
H04,7,720,0.304
H04,7,735,0.303
H04,7,750,0.298
H04,7,765,0.299
H04,7,780,0.298
H04,7,795,0.296
H04,7,810,0.295
H04,7,825,0.295
H04,7,840,0.294
H04,7,855,0.296
H04,7,870,0.292
H04,7,885,0.291
H04,7,900,0.291
H04,7,915,0.291
H04,7,930,0.29
H04,7,945,0.29
H04,7,960,0.29
H04,7,975,0.29
H04,7,990,0.289
H04,7,1005,0.29
H04,7,1020,0.289
H04,7,1035,0.289
H04,7,1050,0.29
H04,7,1065,0.29
H04,7,1080,0.289
H04,7,1095,0.289
H04,7,1110,0.289
H04,7,1125,0.288
H04,7,1140,0.288
H04,7,1155,0.287
H12,1,15,0.006
H12,1,30,0.007
H12,1,45,0.008
H12,1,60,0.011
H12,1,75,0.016
H12,1,90,0.021
H12,1,105,0.03
H12,1,120,0.042
H12,1,135,0.057
H12,1,150,0.076
H12,1,165,0.093
H12,1,180,0.109
H12,1,195,0.134
H12,1,210,0.163
H12,1,225,0.188
H12,1,240,0.214
H12,1,255,0.228
H12,1,270,0.249
H12,1,285,0.269
H12,1,300,0.287
H12,1,315,0.303
H12,1,330,0.316
H12,1,345,0.322
H12,1,360,0.311
H12,1,375,0.324
H12,1,390,0.342
H12,1,405,0.352
H12,1,420,0.361
H12,1,435,0.371
H12,1,450,0.381
H12,1,465,0.388
H12,1,480,0.389
H12,1,495,0.387
H12,1,510,0.384
H12,1,525,0.381
H12,1,540,0.378
H12,1,555,0.375
H12,1,570,0.372
H12,1,585,0.368
H12,1,600,0.364
H12,1,615,0.36
H12,1,630,0.356
H12,1,645,0.353
H12,1,660,0.35
H12,1,675,0.347
H12,1,690,0.344
H12,1,705,0.341
H12,1,720,0.339
H12,1,735,0.336
H12,1,750,0.334
H12,1,765,0.332
H12,1,780,0.33
H12,1,795,0.328
H12,1,810,0.326
H12,1,825,0.324
H12,1,840,0.323
H12,1,855,0.322
H12,1,870,0.32
H12,1,885,0.319
H12,1,900,0.318
H12,1,915,0.317
H12,1,930,0.316
H12,1,945,0.315
H12,1,960,0.314
H12,1,975,0.313
H12,1,990,0.312
H12,1,1005,0.311
H12,1,1020,0.31
H12,1,1035,0.309
H12,1,1050,0.309
H12,1,1065,0.308
H12,1,1080,0.307
H12,1,1095,0.306
H12,1,1110,0.305
H12,1,1125,0.305
H12,1,1140,0.305
H12,1,1155,0.304
H11,1,15,0.006
H11,1,30,0.005
H11,1,45,0.007
H11,1,60,0.01
H11,1,75,0.013
H11,1,90,0.017
H11,1,105,0.025
H11,1,120,0.034
H11,1,135,0.05
H11,1,150,0.065
H11,1,165,0.08
H11,1,180,0.094
H11,1,195,0.113
H11,1,210,0.136
H11,1,225,0.164
H11,1,240,0.193
H11,1,255,0.212
H11,1,270,0.229
H11,1,285,0.248
H11,1,300,0.266
H11,1,315,0.281
H11,1,330,0.29
H11,1,345,0.295
H11,1,360,0.307
H11,1,375,0.319
H11,1,390,0.33
H11,1,405,0.339
H11,1,420,0.344
H11,1,435,0.349
H11,1,450,0.358
H11,1,465,0.364
H11,1,480,0.361
H11,1,495,0.357
H11,1,510,0.354
H11,1,525,0.351
H11,1,540,0.348
H11,1,555,0.345
H11,1,570,0.344
H11,1,585,0.342
H11,1,600,0.34
H11,1,615,0.339
H11,1,630,0.338
H11,1,645,0.336
H11,1,660,0.336
H11,1,675,0.337
H11,1,690,0.334
H11,1,705,0.332
H11,1,720,0.33
H11,1,735,0.328
H11,1,750,0.326
H11,1,765,0.324
H11,1,780,0.323
H11,1,795,0.321
H11,1,810,0.319
H11,1,825,0.318
H11,1,840,0.316
H11,1,855,0.315
H11,1,870,0.313
H11,1,885,0.311
H11,1,900,0.313
H11,1,915,0.31
H11,1,930,0.309
H11,1,945,0.308
H11,1,960,0.308
H11,1,975,0.307
H11,1,990,0.305
H11,1,1005,0.304
H11,1,1020,0.303
H11,1,1035,0.302
H11,1,1050,0.301
H11,1,1065,0.301
H11,1,1080,0.3
H11,1,1095,0.299
H11,1,1110,0.298
H11,1,1125,0.298
H11,1,1140,0.298
H11,1,1155,0.297
H11,2,15,0.001
H11,2,30,0.001
H11,2,45,0.001
H11,2,60,0.001
H11,2,75,0.003
H11,2,90,0.006
H11,2,105,0.01
H11,2,120,0.016
H11,2,135,0.024
H11,2,150,0.038
H11,2,165,0.054
H11,2,180,0.069
H11,2,195,0.08
H11,2,210,0.096
H11,2,225,0.117
H11,2,240,0.145
H11,2,255,0.171
H11,2,270,0.2
H11,2,285,0.216
H11,2,300,0.236
H11,2,315,0.256
H11,2,330,0.272
H11,2,345,0.285
H11,2,360,0.295
H11,2,375,0.304
H11,2,390,0.307
H11,2,405,0.32
H11,2,420,0.329
H11,2,435,0.336
H11,2,450,0.341
H11,2,465,0.349
H11,2,480,0.359
H11,2,495,0.358
H11,2,510,0.354
H11,2,525,0.35
H11,2,540,0.346
H11,2,555,0.343
H11,2,570,0.34
H11,2,585,0.338
H11,2,600,0.335
H11,2,615,0.334
H11,2,630,0.332
H11,2,645,0.332
H11,2,660,0.331
H11,2,675,0.33
H11,2,690,0.33
H11,2,705,0.33
H11,2,720,0.33
H11,2,735,0.332
H11,2,750,0.33
H11,2,765,0.328
H11,2,780,0.326
H11,2,795,0.324
H11,2,810,0.322
H11,2,825,0.321
H11,2,840,0.318
H11,2,855,0.317
H11,2,870,0.315
H11,2,885,0.314
H11,2,900,0.313
H11,2,915,0.312
H11,2,930,0.31
H11,2,945,0.309
H11,2,960,0.308
H11,2,975,0.307
H11,2,990,0.306
H11,2,1005,0.305
H11,2,1020,0.304
H11,2,1035,0.303
H11,2,1050,0.303
H11,2,1065,0.302
H11,2,1080,0.3
H11,2,1095,0.299
H11,2,1110,0.298
H11,2,1125,0.298
H11,2,1140,0.298
H11,2,1155,0.297
H11,3,15,0.001
H11,3,30,0.001
H11,3,45,0.001
H11,3,60,0.001
H11,3,75,0.003
H11,3,90,0.006
H11,3,105,0.011
H11,3,120,0.018
H11,3,135,0.026
H11,3,150,0.04
H11,3,165,0.056
H11,3,180,0.069
H11,3,195,0.08
H11,3,210,0.095
H11,3,225,0.115
H11,3,240,0.139
H11,3,255,0.164
H11,3,270,0.189
H11,3,285,0.207
H11,3,300,0.228
H11,3,315,0.246
H11,3,330,0.263
H11,3,345,0.275
H11,3,360,0.284
H11,3,375,0.292
H11,3,390,0.291
H11,3,405,0.299
H11,3,420,0.307
H11,3,435,0.312
H11,3,450,0.318
H11,3,465,0.324
H11,3,480,0.333
H11,3,495,0.327
H11,3,510,0.323
H11,3,525,0.32
H11,3,540,0.316
H11,3,555,0.313
H11,3,570,0.311
H11,3,585,0.308
H11,3,600,0.307
H11,3,615,0.305
H11,3,630,0.304
H11,3,645,0.303
H11,3,660,0.302
